group	tier	n	pct	total
ok=1 (all)	Gold	31010	25.168207384080965	123211
ok=1 (all)	Silver	51602	41.88100088466127	123211
ok=1 (all)	Bronze	30260	24.559495499590135	123211
ok=1 (all)	None	10339	8.391296231667628	123211
ok=1 & not_UR	Gold	27866	27.04911667637352	103020
ok=1 & not_UR	Silver	43645	42.365560085420306	103020
ok=1 & not_UR	Bronze	21984	21.33954571927781	103020
ok=1 & not_UR	None	9525	9.245777518928364	103020
ok=1 & UR=1	Gold	3144	15.57129414095389	20191
ok=1 & UR=1	Silver	7957	39.408647417166065	20191
ok=1 & UR=1	Bronze	8276	40.98855925907583	20191
ok=1 & UR=1	None	814	4.03149918280422	20191
