journal	Gold	Silver	Bronze	None
BMC bioinformatics	1219	1911	2259	260
BMC genomics	1228	6181	1640	377
Bioinformatics (Oxford, England)	1324	756	1494	177
Cell	255	308	44	64
Cell genomics	292	48	26	12
EMBO reports	381	515	272	66
Frontiers in genetics	1299	7742	3766	2521
Genome biology	1150	995	176	162
Genome research	709	993	173	20
Lancet (London, England)	12	112	223	598
Molecular systems biology	268	287	138	28
NAR genomics and bioinformatics	401	110	59	0
Nature	1580	1833	490	448
Nature communications	12162	13666	13870	2551
Nature genetics	594	359	193	73
Nature medicine	199	492	307	202
Nucleic acids research	1877	8277	2277	2329
PLoS biology	883	1125	572	373
PLoS genetics	1084	2881	964	811
Science (New York, N.Y.)	76	188	35	26
The EMBO journal	620	668	216	75
eLife	3743	4066	2006	239
