year	Gold	Silver	Bronze	None
2010	1.1167836630504147	52.13784301212508	21.28270580727505	25.46266751754946
2011	1.0949985202722698	51.87925421722404	21.751997632435632	25.273749630068064
2012	1.688951442646024	52.80319024161388	19.587145202908747	25.92071311283134
2013	2.5735294117647056	53.366873065015476	18.072755417956657	25.986842105263158
2014	4.34398728589087	56.507151686385306	17.23468126434752	21.9141797633763
2015	6.0	52.53543307086615	19.65354330708661	21.811023622047244
2016	8.70852157656956	50.45957314223399	25.066209689982866	15.765695591213586
2017	12.761819269898265	48.27947336923998	29.69778575703172	9.260921603830042
2018	15.285404162942154	46.32869365342868	31.7200868343762	6.66581534925297
2019	22.3785594639866	44.26577331099944	29.000558347292017	4.355108877721943
2020	27.328760314146532	41.067700566656725	27.497763197136894	4.105775922059847
2021	31.593806142527164	38.848490033364705	25.220292582770128	4.33741124133801
2022	31.401796173369778	38.352206169465056	25.677469738383447	4.568527918781726
2023	41.20120669165372	32.480117012524	23.676752902459093	2.641923393363196
2024	44.49283395359886	30.82587694987727	22.91551191701639	1.7657771795074828
2025	45.596664929650856	30.34566614556192	22.963348966475593	1.0943199583116208
