year	group	Gold	Silver	Bronze	None
2010	not_UR	1.1589403973509933	52.28476821192053	20.894039735099337	25.662251655629138
2010	UR & g=0	0.0	47.142857142857146	40.0	12.857142857142858
2011	not_UR	1.104633323105247	52.040503221847196	21.663086836452898	25.191776618594663
2011	UR & g=0	0.0	42.465753424657535	35.61643835616438	21.91780821917808
2012	not_UR	1.6694894749576579	53.03653520445197	19.380595209291073	25.913380111299297
2012	UR & g=0	2.5641025641025643	42.30769230769231	37.17948717948718	17.94871794871795
2013	not_UR	2.5925192954680387	53.41381357609341	17.870571937462895	26.123095190975658
2013	UR & g=0	0.0	40.67796610169491	45.76271186440678	13.559322033898304
2014	not_UR	4.350978970268311	56.74401740391588	16.76939811457578	22.13560551124003
2014	UR & g=0	5.0	39.0	45.0	11.0
2015	not_UR	6.048387096774194	52.354838709677416	19.516129032258064	22.080645161290324
2015	UR & g=0	1.075268817204301	51.61290322580645	36.55913978494624	10.75268817204301
2016	not_UR	9.482758620689655	52.269528501055596	23.2054890921886	15.04222378606615
2016	UR & g=0	2.127659574468085	34.04255319148936	41.03343465045592	22.796352583586625
2017	not_UR	15.992830113523203	50.20912168890659	25.931089424417447	7.866958773152758
2017	UR & g=0	2.674494455316373	40.70450097847358	42.857142857142854	13.76386170906719
2018	not_UR	19.780802545518828	48.205762771787164	25.33144776383242	6.681986918861587
2018	UR & g=0	3.17227916056613	40.995607613469986	49.24353343094192	6.588579795021962
2019	not_UR	25.529303467321263	45.474071801166005	24.087143295489415	4.90948143602332
2019	UR & g=0	12.379702537182853	40.94488188976378	43.7007874015748	2.974628171478565
2020	not_UR	30.55444221776887	41.33600534402137	22.818971275885104	5.290581162324649
2020	UR & g=0	15.355329949238579	40.86294416243655	43.10490693739425	0.676818950930626
2021	not_UR	34.535125095597074	39.473396700535346	20.638042171965477	5.353436031902109
2021	UR & g=0	19.01918976545842	37.142857142857146	43.2409381663113	0.5970149253731343
2022	not_UR	33.37070254110613	38.303437967115094	23.03811659192825	5.287742899850524
2022	UR & g=0	18.75	39.45974576271186	40.99576271186441	0.7944915254237288
2023	not_UR	44.83246301131419	31.24456048738033	20.86597040905135	3.057006092254134
2023	UR & g=0	18.205128205128204	40.44871794871795	40.96153846153846	0.38461538461538464
2024	not_UR	47.972910288523984	29.910010205028296	20.131737637999816	1.985341868447908
2024	UR & g=0	19.77886977886978	37.16216216216216	42.62899262899263	0.42997542997543
2025	not_UR	49.79015252328795	29.48101136247313	19.490224178523903	1.238611935715017
2025	UR & g=0	18.040233614536014	36.340038935756006	45.295262816353016	0.3244646333549643
