journal	n_total	n_ur	n_ur_genuine	n_ur_restricted	n_ur_g0	n_ur_genuine_only	ur_g0_pct	ur_genuine_only_pct	ur_restricted_pct	ur_total_pct
Nature communications	41623	15196	893	23	14303	870	34.3632126468539	2.0901905196646084	0.055257910289983905	36.508661076808494
Cell	634	134	45	1	89	44	14.037854889589905	6.94006309148265	0.15772870662460567	21.13564668769716
Nature	4243	875	77	5	798	72	18.807447560688193	1.6969125618666039	0.11784115012962526	20.62220127268442
Nature medicine	1040	197	64	4	133	60	12.788461538461538	5.769230769230769	0.38461538461538464	18.94230769230769
Cell genomics	355	44	18	0	26	18	7.323943661971831	5.070422535211268	0.0	12.3943661971831
The EMBO journal	1524	174	41	0	133	41	8.727034120734908	2.690288713910761	0.0	11.417322834645669
Science (New York, N.Y.)	311	35	12	0	23	12	7.395498392282958	3.8585209003215435	0.0	11.254019292604502
Nature genetics	1217	122	35	1	87	34	7.148726376335251	2.7937551355792936	0.08216926869350863	10.024650780608052
EMBO reports	1142	90	23	0	67	23	5.866900175131349	2.0140105078809105	0.0	7.880910683012259
BMC genomics	9368	683	51	1	632	50	6.746370623398804	0.533731853116994	0.01067463706233988	7.290777113578138
BMC bioinformatics	5584	344	13	4	331	9	5.927650429799427	0.16117478510028654	0.07163323782234957	6.160458452722064
Nucleic acids research	14529	805	188	1	617	187	4.2466790556817395	1.287081010393007	0.006882786151834262	5.540642852226581
eLife	9916	532	200	1	332	199	3.3481242436466316	2.0068576038725294	0.01008471157724889	5.36506655909641
Molecular systems biology	683	34	12	0	22	12	3.22108345534407	1.7569546120058566	0.0	4.978038067349926
Genome biology	2281	94	29	2	65	27	2.8496273564226215	1.183691363437089	0.08768084173608066	4.1209995615957915
PLoS genetics	5621	215	131	0	84	131	1.4943960149439601	2.3305461661626046	0.0	3.8249421811065645
PLoS biology	2890	103	37	0	66	37	2.283737024221453	1.2802768166089966	0.0	3.56401384083045
Frontiers in genetics	13454	393	86	7	307	79	2.2818492641593577	0.5871859669986621	0.05202913631633715	2.921064367474357
Lancet (London, England)	633	17	5	0	12	5	1.8957345971563981	0.7898894154818326	0.0	2.6856240126382307
NAR genomics and bioinformatics	566	13	2	0	11	2	1.9434628975265018	0.35335689045936397	0.0	2.2968197879858656
Bioinformatics (Oxford, England)	3735	67	2	1	65	1	1.7402945113788488	0.02677376171352075	0.02677376171352075	1.7938420348058903
Genome research	1862	24	9	0	15	9	0.8055853920515574	0.4833512352309345	0.0	1.2889366272824918
