section	percent_restricted
Introduction	33.33333333333333
Data availability statement	10.526315789473683
Resource availability	4.3478260869565215
no_section	2.556950255695025
Methods	0.7117437722419928
Data availability	0.6968641114982579
Supporting information	0.0
Supplemental information	0.0
Materials and methods	0.0
Materials availability	0.0
Materials and methods	0.0
Method details	0.0
RESOURCE AVAILABILITY	0.0
Reagent availability	0.0
Resource Availability	0.0
Materials and Methods	0.0
Results	0.0
Results and discussion	0.0
STAR METHODS	0.0
STAR Methods	0.0
STAR*METHODS	0.0
STAR*Methods	0.0
Materials and correspondence	0.0
2 Materials and method	0.0
Material and methods	0.0
Code availability	0.0
2 Methods	0.0
2 Results and discussion	0.0
3 Experimental setup	0.0
3 Results and discussion	0.0
3 Simulation study	0.0
Availability and implementation	0.0
Availability of data and materials	0.0
Case description	0.0
Data And Materials Availability	0.0
2 Materials and methods	0.0
Data access	0.0
Data and materials availability	0.0
Data and materials availability:	0.0
Data availability	0.0
Discussion	0.0
Experimental procedures	0.0
Funding	0.0
Implementation	0.0
unlabeled	0.0
